,Total Profit (STD),Total Profit (max),Total Profit (mean),Total Profit (min),c1,c2,c3,,Price,Price/BTC,BTC,,,std,max,min
0,112417.7064,726922.2724,437055.7616,222510.4939,0.0003,0.0003,1000,,1000,800.8,0.8008,,,0.257215935,1.663225465,0.509112368
1,128511.013,995485.6093,454577.7668,235963.4901,0.0003,0.0008,0,,1500,1176.2,0.784133333,,,0.282704132,2.189912666,0.519082778
2,153964.7117,933677.0752,475998.9823,212167.1471,0.0003,0.0003,0,,2000,1701.6,0.8508,,,0.323455968,1.961510654,0.445730254
3,146452.6326,921312.0755,490116.8491,209490.0325,0.0003,0.0008,500,,2500,2377,0.9508,,,0.298811667,1.879780459,0.427428751
,,,,,,,,,3000,3202.4,1.067466667,,,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,0.0003,0.0008,500,,3500,4177.8,1.193657143,,,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,,,,,4000,5303.2,1.3258,,,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,,,,,4500,6578.6,1.461911111,,,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,,,,,5000,8004,1.6008,,,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,,,,,5500,9579.4,1.741709091,,,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,,,,,6000,11304.8,1.884133333,,,,,
,,,,,,,,,6500,13180.2,2.027723077,,,,,
,,,,,,,,,7000,15205.6,2.172228571,,,,,
,,,,,,,,,7500,17381,2.317466667,,,,,
,,,,,,,,,8000,19706.4,2.4633,,,,,
,,,,,,,,,8500,22181.8,2.609623529,,,,,
,,,,,,,,,9000,24807.2,2.756355556,,,,,
,,,,,,,,,9500,27582.6,2.903431579,,,,,
,,,,,,,,,10000,30508,3.0508,,,,,
,,,,,,,,,10500,33583.4,3.198419048,,,,,
,,,,,,,,,11000,36808.8,3.346254545,,,,,
,,,,,,,,,11500,40184.2,3.494278261,,,,,
,,,,,,,,,12000,43709.6,3.642466667,,,,,
,,,,,,,,,12500,47385,3.7908,,,,,
,,,,,,,,,13000,51210.4,3.939261538,,,,,
,,,,,,,,,13500,55185.8,4.087837037,,,,,
,,,,,,,,,14000,59311.2,4.236514286,,,,,
,,,,,,,,,14500,63586.6,4.385282759,,,,,
,,,,,,,,,15000,68012,4.534133333,,,,,
,,,,,,,,,15500,72587.4,4.683058065,,,,,
