,Run,Current BTC,Total Profit,Average BTC Price,Ending BTC Price,,,,, Current BTC , Total Profit , Average BTC Price , Ending BTC Price 
0,0,0.511901487,67715.04074,5758.379541,7964.251958,,,,  Min  , 0.00 ," 48,896.77 "," 3,518.73 "," 1,551.53 "
1,1,0.528912439,86206.69306,32149.85392,171183.7871,,,,  Mean  , 0.65 ," 78,093.48 "," 14,992.09 "," 27,584.03 "
2,2,0.571673355,66391.08051,13770.68251,26920.29063,,,,  Median  , 0.62 ," 75,711.14 "," 12,059.59 "," 17,014.58 "
3,3,0.136163151,95317.35459,27645.71543,31190.73707,,,,  STD  , 0.44 ," 14,287.47 "," 9,768.28 "," 31,317.13 "
4,4,1.019254467,75369.93587,12461.73102,20466.82302,,,,  Max  , 1.91 ," 143,093.94 "," 50,615.40 "," 190,910.11 "
5,5,1.456364009,86523.38295,12327.60329,19146.11951,,,,  Range  , 1.91 ," 94,197.17 "," 47,096.68 "," 189,358.58 "
6,6,1.390226558,89223.94715,15176.5374,19904.25823,,,,,,,,
7,7,0.39421468,89670.29079,17405.93177,18597.90265,,,,,,,,
8,8,0.491000299,113308.2886,27289.7179,24895.63315,,,,,,,,
9,9,0.519612927,86221.44911,11298.38024,15532.93213,,,,,,,,
10,10,1.390226558,89223.94715,15176.5374,19904.25823,,,,,,,,
11,11,0.495823584,67923.21464,13577.48696,26537.93305,,,,,,,,
12,12,1.244829211,70649.19353,11445.6176,15363.20439,,,,,,,,
13,13,1.482310298,87450.19409,11631.15297,8625.031973,,,,,,,,
14,14,0.37281091,52523.83201,9548.428371,12109.86065,,,,,,,,
15,15,0.235274681,93293.98344,47082.3588,66263.49462,,,,,,,,
16,16,0.668633358,107651.5556,43131.15354,56934.5836,,,,,,,,
17,17,0.06866042,97051.91025,12990.18549,18321.43553,,,,,,,,
18,18,1.062868077,74422.75193,18601.73164,60107.80889,,,,,,,,
19,19,0.046145889,97850.60138,6803.022498,5700.810969,,,,,,,,
20,20,0.639135925,65073.95448,7872.150249,12445.5517,,,,,,,,
21,21,0.06957929,76936.84493,22360.23712,19609.25837,,,,,,,,
22,22,0.18728373,119331.3936,6602.137865,3297.810029,,,,,,,,
23,23,1.112080366,55377.41575,4641.034171,2577.188766,,,,,,,,
24,24,0.379442979,115521.2835,42758.71551,56315.03707,,,,,,,,
25,25,1.462182357,66116.71058,19995.15655,57891.27855,,,,,,,,
26,26,0.39421468,89670.29079,17405.93177,18597.90265,,,,,,,,
27,27,1.12889792,73039.152,17307.00786,37737.27837,,,,,,,,
28,28,0.779227791,80506.38705,17840.11055,21271.63304,,,,,,,,
29,29,0.676110808,82824.85021,12559.98584,38296.8612,,,,,,,,
30,30,0.476374144,87434.80363,28500.81544,94255.91789,,,,,,,,
31,31,0.855767636,79025.1219,5825.002008,5084.086594,,,,,,,,
32,32,0.933376372,77217.21488,12595.00524,19101.03101,,,,,,,,
33,33,0.593810745,65964.31368,36301.30912,72151.86968,,,,,,,,
34,34,1.230068348,70920.556,21097.71677,53928.84171,,,,,,,,
35,35,1.481695626,87579.0411,15502.72238,19872.50169,,,,,,,,
36,36,0.214024495,93465.66083,6560.847345,4629.997833,,,,,,,,
37,37,0.037265136,97389.41599,43734.15843,132092.0245,,,,,,,,
38,38,0.839204458,60528.51217,4362.178273,2161.164279,,,,,,,,
39,39,0.843316676,79532.42927,24245.25253,18326.83365,,,,,,,,
40,40,0.186558071,74399.93175,5308.340436,2691.439538,,,,,,,,
41,41,0.049740096,97011.46467,6618.500815,6027.428828,,,,,,,,
42,42,0.487905338,68138.61243,8161.596989,13206.77786,,,,,,,,
43,43,0.726335275,81848.83063,29034.7309,113233.0135,,,,,,,,
44,44,1.156054674,72460.3035,11305.98895,15682.89797,,,,,,,,
45,45,0.415136284,89173.27813,11974.63881,16674.69749,,,,,,,,
46,46,0.175698702,74418.84844,13583.63244,32098.74865,,,,,,,,
47,47,0.415024512,114465.7278,44143.14106,57480.63511,,,,,,,,
48,48,1.383707223,67760.96597,16054.48707,17469.21854,,,,,,,,
49,49,1.079837736,95930.34103,5603.086399,2618.98741,,,,,,,,
50,50,0.215862879,93283.25539,10409.43716,13492.52532,,,,,,,,
51,51,1.005389279,57728.7718,5191.388806,7474.077892,,,,,,,,
52,52,1.281954343,70249.63111,23452.52295,18623.73249,,,,,,,,
53,53,0.59269507,65965.60094,13513.2301,26094.37363,,,,,,,,
54,54,0.939217643,77127.96042,11555.34421,24271.71719,,,,,,,,
55,55,0.695735278,63907.23893,5055.534952,2791.590306,,,,,,,,
56,56,0.039581434,97466.99876,13405.59663,32287.99387,,,,,,,,
57,57,0.140286799,75283.79266,32409.10472,121348.1727,,,,,,,,
58,58,0.213925015,54609.12364,3784.983729,1868.959329,,,,,,,,
59,59,0.874009063,78556.6299,13947.24817,21817.74472,,,,,,,,
60,60,0.186558071,74399.93175,5308.340436,2691.439538,,,,,,,,
61,61,0.819888673,60969.62367,8075.034132,10013.12573,,,,,,,,
62,62,0.827061409,61283.28564,12284.27599,17136.35662,,,,,,,,
63,63,0.138195942,122403.5443,6920.972106,3036.08784,,,,,,,,
64,64,0.509032536,86446.19014,25418.4346,74906.58174,,,,,,,,
65,65,1.37002191,68021.38121,20335.99712,53428.24164,,,,,,,,
