,Run,Current BTC,Total Profit,Average BTC Price,Ending BTC Price,,,,,Current BTC,Total Profit,Average BTC Price,Ending BTC Price
0,0,39.27712988,107006.6186,9926.814622,13984.18427,,,, Min ,35.47111816,68935.04813,5574.181742,8184.180776
1,1,37.15911768,256233.9774,18542.98215,14118.76839,,,, Mean ,37.73752782,175884.8414,13375.14907,16369.71902
2,2,37.63315999,227224.109,17339.27897,12916.66275,,,, Median ,37.96102694,188353.0448,15166.131,14251.96781
3,3,37.68377121,210948.4102,16159.48887,15423.75185,,,, STD ,0.847487886,86019.84505,5118.937769,7681.754214
4,4,38.04435592,188353.0448,15166.131,15138.83832,,,, Max ,39.27712988,365857.5941,22511.71627,39705.04504
5,5,37.97443756,89771.44395,7875.50882,9589.120346,,,, Range ,3.806011718,296922.546,16937.53452,31520.86426
6,6,38.66741916,160586.6146,13651.45751,20938.87484,,,,,,,,
7,7,36.96851751,265453.6776,17216.10428,39705.04504,,,,,,,,
8,8,37.41519255,231965.8637,17644.84099,21141.13289,,,,,,,,
9,9,37.52634021,68935.04813,5574.181742,8184.180776,,,,,,,,
10,10,38.01246064,91598.32233,7983.245795,9771.604027,,,,,,,,
11,11,38.08691124,90962.27257,7896.608822,12625.54953,,,,,,,,
12,12,37.96102694,193509.2343,15333.18486,15324.39518,,,,,,,,
13,13,35.47111816,365857.5941,22511.71627,22431.70933,,,,,,,,
14,14,38.1819586,89866.38926,7805.691296,14251.96781,,,,,,,,
